sexe;id_client;formation;usage_vehicule;type_vehicule;est_rouge;type_conduite;etat_dossier;formule;Année_naissance;Présence_enft_cond_accomp;Présence_enfants;Cat_revenus;Cat_valeur_res_princ;Cat_points_perdus;Cat_age_veh;Année date_demande;Cat_Tarif_devis
F;256F0164-D0C3;Bachelors;Commercial;Sports Car;no;Highly Urban/ Urban;complet;dev_integral;1999;non;oui;sup 100k€;_0;_0;5_10;2022;250_500
F;A15B51A2-68A1;z_High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1932;oui;oui;40-60k€;_0;0_3;0_5;2022;250_500
F;8FF07119-3355;z_High School;Private;Pickup;no;z_Highly Rural/ Rural;complet;dev_express;1978;non;oui;20-40k€;_0;_0;0_5;2022;250_500
F;380F6CCF-A05B;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2021;non;non;0-20k€;100-200K€;0_3;0_5;2022;250_500
M;3A8C751B-289C;Bachelors;Commercial;Panel Truck;no;Highly Urban/ Urban;complet;dev_vip;1956;non;non;;200-400K€;0_3;10_15;2022;500_750
F;EE231D49-B4BB;Bachelors;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;1992;non;oui;60-80k€;200-400K€;0_3;10_15;2022;250_500
F;25D2F4C5-D67C;Bachelors;Commercial;Minivan;no;z_Highly Rural/ Rural;complet;dev_express;1941;oui;oui;sup 100k€;200-400K€;_0;5_10;2022;250_500
M;6478D253-097A;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;1956;non;non;40-60k€;200-400K€;0_3;5_10;2022;250_500
M;A23C36C3-9B87;PhD;Private;Minivan;no;Highly Urban/ Urban;complet;dev_premium;1956;non;non;sup 100k€;200-400K€;_0;10_15;2022;250_500
F;FC84A57A-6BA6;Bachelors;Commercial;Panel Truck;yes;Highly Urban/ Urban;complet;dev_integral;1974;non;non;;200-400K€;0_3;5_10;2022;250_500
F;8C0D4EB8-756B;Bachelors;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1967;oui;oui;20-40k€;_0;_0;5_10;2022;250_500
M;D438A695-5DE9;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;2017;non;oui;20-40k€;0-100K€;_0;0_5;2022;250_500
F;46CDB516-649D;PhD;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1950;non;non;60-80k€;_0;_0;sup 15;2022;250_500
M;876DF3DD-3D5D;z_High School;Commercial;Van;no;z_Highly Rural/ Rural;complet;dev_integral;2017;non;non;0-20k€;_0;3_6;5_10;2022;250_500
M;816C7BD5-3814;z_High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1945;non;oui;20-40k€;200-400K€;_0;0_5;2022;250_500
M;2ECB0AEB-F15D;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_express;1938;non;non;40-60k€;100-200K€;_0;10_15;2022;250_500
F;E5D49F95-EC49;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1973;non;non;sup 100k€;200-400K€;_0;10_15;2022;250_500
F;79F94085-C70B;Bachelors;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_express;1936;non;non;40-60k€;_0;0_3;5_10;2022;250_500
F;32E8E367-0E7B;Bachelors;Private;Minivan;yes;Highly Urban/ Urban;complet;dev_express;1955;non;non;60-80k€;200-400K€;_0;10_15;2022;250_500
F;C3092BF1-CFA0;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1940;non;non;40-60k€;100-200K€;_0;5_10;2022;250_500
M;337F22FE-B1A9;Masters;Private;Minivan;no;z_Highly Rural/ Rural;complet;dev_express;1988;non;oui;60-80k€;200-400K€;_0;sup 15;2022;250_500
M;4FDEBDE7-C55C;<High School;Private;Minivan;no;Highly Urban/ Urban;complet;dev_premium;1931;oui;oui;20-40k€;100-200K€;0_3;;2022;250_500
F;2513A4FA-2B6E;z_High School;Commercial;Van;yes;Highly Urban/ Urban;complet;dev_premium;2000;non;non;;100-200K€;_0;5_10;2022;250_500
F;0E8701C4-0DAF;z_High School;Commercial;Sports Car;no;Highly Urban/ Urban;complet;dev_premium;1941;non;oui;40-60k€;200-400K€;3_6;0_5;2022;250_500
M;E4B4E743-DBC5;<High School;Commercial;Pickup;no;Highly Urban/ Urban;complet;dev_express;2004;non;non;20-40k€;100-200K€;0_3;0_5;2022;250_500
M;BB7FD198-A76D;z_High School;Private;Minivan;yes;z_Highly Rural/ Rural;complet;dev_express;1957;non;non;;;0_3;;2022;250_500
F;189B996D-073E;<High School;Private;Sports Car;no;z_Highly Rural/ Rural;complet;dev_integral;1998;non;non;40-60k€;_0;_0;0_5;2022;250_500
F;16DFB16D-F024;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1978;non;non;60-80k€;200-400K€;3_6;;2022;250_500
F;FB0C89C5-473C;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_vip;1969;non;non;40-60k€;100-200K€;_0;0_5;2022;sup 750
F;42B8FAD7-E233;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_premium;2006;non;non;sup 100k€;200-400K€;_0;sup 15;2022;250_500
F;2708C667-770E;z_High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1974;non;oui;20-40k€;100-200K€;_0;0_5;2022;250_500
M;FD737F27-E888;<High School;Commercial;Minivan;yes;z_Highly Rural/ Rural;complet;dev_integral;1984;non;oui;20-40k€;_0;3_6;0_5;2022;250_500
F;C52D5A7B-FE10;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1957;non;non;sup 100k€;_0;0_3;5_10;2022;250_500
M;BBD9BA12-3C34;<High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;2018;non;non;20-40k€;100-200K€;0_3;5_10;2022;250_500
M;B77C1176-C01C;Masters;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1978;oui;oui;60-80k€;200-400K€;_0;10_15;2022;250_500
F;2FAD1BAF-3B58;Bachelors;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;1954;non;non;20-40k€;100-200K€;_0;5_10;2022;250_500
F;84C9FF5C-D91C;Bachelors;Commercial;Sports Car;no;Highly Urban/ Urban;complet;dev_express;1961;non;non;20-40k€;100-200K€;_0;10_15;2022;250_500
F;8A6957D8-219B;Masters;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_integral;2016;non;oui;80-100k€;200-400K€;0_3;10_15;2022;250_500
F;7FCE910C-D0C0;Masters;Private;Minivan;no;Highly Urban/ Urban;complet;dev_integral;1967;non;non;sup 100k€;_0;_0;10_15;2022;250_500
M;C75ACB9E-9633;z_High School;Private;z_SUV;no;z_Highly Rural/ Rural;complet;dev_premium;1988;non;non;40-60k€;100-200K€;0_3;10_15;2022;250_500
F;20103A34-A99A;Bachelors;Private;Sports Car;no;Highly Urban/ Urban;complet;dev_express;2004;oui;oui;;_0;_0;5_10;2022;250_500
F;4948165D-ADFC;<High School;Private;z_SUV;no;Highly Urban/ Urban;complet;dev_express;1937;non;oui;0-20k€;_0;3_6;5_10;2022;250_500
M;6AA21CE2-91E1;Bachelors;Commercial;Pickup;yes;Highly Urban/ Urban;complet;dev_express;1963;non;oui;0-20k€;_0;_0;5_10;2022;250_500
